Seq Project ID ,Seq Project Name ,Sample ID ,Plate,Sample_ID_fix,Sample_ID_dada2,Sample Name*,Sample Group Name (required for some products)*,Site,State,Ocean,Continent,Seagrass_Or_Not,Species,Description of Pathogenicity to any host*,Concentration (ng/ul),"Tube or Plate Label (If in a tube, label must be unique.  If in a plate, label must be the same for all samples in that plate.) 20 characters max",Plate location (well #) required if samples will be provided in a plate.  ,Sample Format*,Shipment and Storage Comments (Box #),Biosafety Material Category,Sample Isolation Method,Collection Year,Collection Month,Clone,Sample Isolated From,Latitude Value must be in decimal format with values between -90 and 90.,Longitude Value must be in decimal format with values between -180 and 180.,Notes
1191095,Seagrass microbiome iTags plate 1,178674,Plate_1,ZM11_L,Plate_1.ZM11_L,ZM11-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.39,503251_iTag_1,E2,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178675,Plate_1,ZM12_L,Plate_1.ZM12_L,ZM12-L,Alaska - Kotzebue,Alaska - North,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,3.4,503251_iTag_1,F2,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,64.485428,-164.76189,
1191095,Seagrass microbiome iTags plate 1,178676,Plate_1,ZM101_L,Plate_1.ZM101_L,ZM101-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.77,503251_iTag_1,G2,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178677,Plate_1,ZM102_L,Plate_1.ZM102_L,ZM102-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.55,503251_iTag_1,H2,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178678,Plate_1,ZM103_L,Plate_1.ZM103_L,ZM103-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.93,503251_iTag_1,A3,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178679,Plate_1,ZM104_L,Plate_1.ZM104_L,ZM104-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.09,503251_iTag_1,B3,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178680,Plate_1,ZM105_L,Plate_1.ZM105_L,ZM105-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.39,503251_iTag_1,C3,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178681,Plate_1,ZM106_L,Plate_1.ZM106_L,ZM106-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.66,503251_iTag_1,D3,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178682,Plate_1,ZM107_L,Plate_1.ZM107_L,ZM107-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.91,503251_iTag_1,E3,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178683,Plate_1,ZM108_L,Plate_1.ZM108_L,ZM108-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.28,503251_iTag_1,F3,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178684,Plate_1,ZM109_L,Plate_1.ZM109_L,ZM109-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,2.05,503251_iTag_1,G3,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178685,Plate_1,ZM110_L,Plate_1.ZM110_L,ZM110-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.76,503251_iTag_1,H3,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178686,Plate_1,ZM111_L,Plate_1.ZM111_L,ZM111-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,1.48,503251_iTag_1,A4,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178687,Plate_1,ZM112_L,Plate_1.ZM112_L,ZM112-L,Japan - North,Japan - North,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.26,503251_iTag_1,B4,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,43.021167,144.903217,
1191095,Seagrass microbiome iTags plate 1,178688,Plate_1,ZM201_L,Plate_1.ZM201_L,ZM201-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,24.95,503251_iTag_1,C4,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178689,Plate_1,ZM202_L,Plate_1.ZM202_L,ZM202-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.78,503251_iTag_1,D4,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178690,Plate_1,ZM203_L,Plate_1.ZM203_L,ZM203-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,4.45,503251_iTag_1,E4,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178691,Plate_1,ZM204_L,Plate_1.ZM204_L,ZM204-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.79,503251_iTag_1,F4,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178692,Plate_1,ZM205_L,Plate_1.ZM205_L,ZM205-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.5,503251_iTag_1,G4,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178693,Plate_1,ZM206_L,Plate_1.ZM206_L,ZM206-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,2.14,503251_iTag_1,H4,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178694,Plate_1,ZM207_L,Plate_1.ZM207_L,ZM207-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,1.1,503251_iTag_1,A5,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178695,Plate_1,ZM208_L,Plate_1.ZM208_L,ZM208-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.53,503251_iTag_1,B5,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178696,Plate_1,ZM209_L,Plate_1.ZM209_L,ZM209-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.62,503251_iTag_1,C5,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178697,Plate_1,ZM210_L,Plate_1.ZM210_L,ZM210-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,1.76,503251_iTag_1,D5,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178698,Plate_1,ZM211_L,Plate_1.ZM211_L,ZM211-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,3.3,503251_iTag_1,E5,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178699,Plate_1,ZM212_L,Plate_1.ZM212_L,ZM212-L,Japan - South,Japan - South,Japan,Pacific,Asia,Seagrass,Zostera marina,none known,0.54,503251_iTag_1,F5,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,34.297834,132.91631,
1191095,Seagrass microbiome iTags plate 1,178700,Plate_1,ZM301_L,Plate_1.ZM301_L,ZM301-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.16,503251_iTag_1,G5,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178701,Plate_1,ZM302_L,Plate_1.ZM302_L,ZM302-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.06,503251_iTag_1,H5,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178702,Plate_1,ZM303_L,Plate_1.ZM303_L,ZM303-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.11,503251_iTag_1,A6,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178703,Plate_1,ZM304_L,Plate_1.ZM304_L,ZM304-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,1.17,503251_iTag_1,B6,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178704,Plate_1,ZM305_L,Plate_1.ZM305_L,ZM305-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.28,503251_iTag_1,C6,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178705,Plate_1,ZM306_L,Plate_1.ZM306_L,ZM306-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.28,503251_iTag_1,D6,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178706,Plate_1,ZM307_L,Plate_1.ZM307_L,ZM307-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.64,503251_iTag_1,E6,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178707,Plate_1,ZM309_L,Plate_1.ZM309_L,ZM309-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.09,503251_iTag_1,F6,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178708,Plate_1,ZM310_L,Plate_1.ZM310_L,ZM310-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.17,503251_iTag_1,G6,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178709,Plate_1,ZM311_L,Plate_1.ZM311_L,ZM311-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.28,503251_iTag_1,H6,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178710,Plate_1,ZM312_L,Plate_1.ZM312_L,ZM312-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.06,503251_iTag_1,A7,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,
1191095,Seagrass microbiome iTags plate 1,178711,Plate_1,ZM316_L,Plate_1.ZM316_L,ZM316-L,Alaska - Izembek,Alaska - South,Alaska,Pacific,North America,Seagrass,Zostera marina,none known,0.98,503251_iTag_1,B7,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,October,FALSE,leaf,55.328899,-162.821207,Deep
1191095,Seagrass microbiome iTags plate 1,178712,Plate_1,ZM401_L,Plate_1.ZM401_L,ZM401-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.29,503251_iTag_1,C7,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178713,Plate_1,ZM402_L,Plate_1.ZM402_L,ZM402-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.33,503251_iTag_1,D7,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178714,Plate_1,ZM403_L,Plate_1.ZM403_L,ZM403-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.23,503251_iTag_1,E7,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178715,Plate_1,ZM404_L,Plate_1.ZM404_L,ZM404-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.37,503251_iTag_1,F7,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178716,Plate_1,ZM405_L,Plate_1.ZM405_L,ZM405-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.34,503251_iTag_1,G7,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178717,Plate_1,ZM406_L,Plate_1.ZM406_L,ZM406-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.15,503251_iTag_1,H7,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178718,Plate_1,ZM407_L,Plate_1.ZM407_L,ZM407-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.24,503251_iTag_1,A8,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178719,Plate_1,ZM408_L,Plate_1.ZM408_L,ZM408-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.13,503251_iTag_1,B8,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178720,Plate_1,ZM409_L,Plate_1.ZM409_L,ZM409-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.12,503251_iTag_1,C8,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178721,Plate_1,ZM410_L,Plate_1.ZM410_L,ZM410-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.11,503251_iTag_1,D8,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178722,Plate_1,ZM411_L,Plate_1.ZM411_L,ZM411-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.21,503251_iTag_1,E8,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178723,Plate_1,ZM412_L,Plate_1.ZM412_L,ZM412-L,Washington - B,Washington,Washington,Pacific,North America,Seagrass,Zostera marina,none known,0.11,503251_iTag_1,F8,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,September,FALSE,leaf,46.474,-124.028,
1191095,Seagrass microbiome iTags plate 1,178724,Plate_1,ZM505_L,Plate_1.ZM505_L,ZM505-L,California - Bodega Bay,California - North,California,Pacific,North America,Seagrass,Zostera marina,none known,3.7,503251_iTag_1,G8,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,December,FALSE,leaf,38.319755,-123.055136,
1191095,Seagrass microbiome iTags plate 1,178725,Plate_1,ZM506_L,Plate_1.ZM506_L,ZM506-L,California - Bodega Bay,California - North,California,Pacific,North America,Seagrass,Zostera marina,none known,2.22,503251_iTag_1,H8,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,December,FALSE,leaf,38.319755,-123.055136,
1191095,Seagrass microbiome iTags plate 1,178726,Plate_1,ZM507_L,Plate_1.ZM507_L,ZM507-L,California - Bodega Bay,California - North,California,Pacific,North America,Seagrass,Zostera marina,none known,0.72,503251_iTag_1,A9,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,December,FALSE,leaf,38.319755,-123.055136,
1191095,Seagrass microbiome iTags plate 1,178727,Plate_1,ZM508_L,Plate_1.ZM508_L,ZM508-L,California - Bodega Bay,California - North,California,Pacific,North America,Seagrass,Zostera marina,none known,0.45,503251_iTag_1,B9,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,December,FALSE,leaf,38.319755,-123.055136,
1191095,Seagrass microbiome iTags plate 1,178728,Plate_1,ZM509_L,Plate_1.ZM509_L,ZM509-L,California - Bodega Bay,California - North,California,Pacific,North America,Seagrass,Zostera marina,none known,0.24,503251_iTag_1,C9,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,December,FALSE,leaf,38.319755,-123.055136,
1191095,Seagrass microbiome iTags plate 1,178729,Plate_1,ZM510_L,Plate_1.ZM510_L,ZM510-L,California - Bodega Bay,California - North,California,Pacific,North America,Seagrass,Zostera marina,none known,0.84,503251_iTag_1,D9,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,December,FALSE,leaf,38.319755,-123.055136,
1191095,Seagrass microbiome iTags plate 1,178730,Plate_1,ZM511_L,Plate_1.ZM511_L,ZM511-L,California - Bodega Bay,California - North,California,Pacific,North America,Seagrass,Zostera marina,none known,0.42,503251_iTag_1,E9,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,December,FALSE,leaf,38.319755,-123.055136,
1191095,Seagrass microbiome iTags plate 1,178731,Plate_1,ZM512_L,Plate_1.ZM512_L,ZM512-L,California - Bodega Bay,California - North,California,Pacific,North America,Seagrass,Zostera marina,none known,2.78,503251_iTag_1,F9,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,December,FALSE,leaf,38.319755,-123.055136,
1191095,Seagrass microbiome iTags plate 1,178732,Plate_1,ZM601_L,Plate_1.ZM601_L,ZM601-L,California - San Diego,California - South,California,Pacific,North America,Seagrass,Zostera marina,none known,0.79,503251_iTag_1,G9,water,Box 1 - plate 1 #1,Metagenome (Environmental),ZymoBIOMICS 96 Magbead DNA Kit,2016,November,FALSE,leaf,32.713756,-117.225474,
